geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
com,Comoros,87.33876,87.52881,87.42648,87.32269,87.2175,87.11132,87.00425,86.89642,86.7879,86.67883,86.56936,86.45953,86.34948,86.23936,86.12919,86.01918,85.90943,85.8,85.691,85.58265,85.47501,85.36818,85.26234,85.15753,85.05393
cpv,Cape Verde,79.36776,79.66278,79.95277,80.2372,80.66026,81.08172,81.50212,81.92093,82.33869,82.75431,83.16633,83.52224,83.87749,84.2319,84.58546,84.9382,85.58132,86.33307,87.07555,87.80857,88.53257,89.24751,90.00893,91.14605,92.28009
cri,Costa Rica,94.65029,95.06242,95.45748,95.83566,96.19697,96.54132,96.86935,97.18121,97.47738,97.75779,98.00094,98.22837,98.47449,98.70639,98.92502,99.13136,99.3263,99.51067,99.68531,99.79753,99.81054,99.81187,99.81312,99.8143,99.81541
cub,Cuba,91.76107,91.91702,92.07048,92.21158,92.34125,92.46859,92.59504,92.72063,92.84532,92.96901,93.09183,93.21378,93.33486,93.45013,93.56367,93.67694,93.78972,93.90331,94.01754,94.13217,94.3125,94.77641,94.90022,95.02363,95.14641
cyp,Cyprus,99.88084,99.88071,99.88079,99.87715,99.87352,99.86653,99.85863,99.85069,99.84274,99.83475,99.82675,99.81873,99.81068,99.8026,99.79449,99.78637,99.77822,99.77006,99.76188,99.75371,99.74554,99.73737,99.72922,99.72108,99.72111
cze,Czech Republic,97.97225,97.97062,98.00883,98.04704,98.08525,98.12347,98.16169,98.19991,98.23815,98.27638,98.31463,98.35288,98.39229,98.53396,98.73021,98.73048,98.73075,98.73106,98.73139,98.73177,98.73218,98.73262,98.7331,98.73361,98.73415
deu,Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
dji,Djibouti,74.30963,74.52757,74.74509,74.96217,75.17883,75.39476,75.61057,75.82596,76.04091,76.25516,76.47182,76.69075,76.91154,77.13434,77.35848,77.58462,77.81184,78.0403,78.26985,78.50038,78.73175,78.96363,79.19589,79.42863,79.66153
dma,Dominica,94.26687,94.38364,94.50723,94.62985,94.75156,94.87227,94.99208,95.11093,95.22886,95.34586,95.46192,95.5771,95.69143,95.80491,95.91752,96.02927,96.14016,96.25017,96.35929,96.46754,96.57489,96.68135,96.7869,96.89156,96.99531
dnk,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
dom,Dominican Republic,91.01932,91.38156,91.73506,92.13836,92.55038,92.94425,93.32084,93.68018,94.02268,94.34795,94.65719,94.94116,95.2053,95.45692,95.69657,95.92469,96.14158,96.34747,96.54199,96.72589,96.8999,97.30547,97.36033,97.41075,97.45713
dza,Algeria,88.99381,89.1698,89.34364,89.51511,89.68422,89.85077,90.01502,90.17674,90.3362,90.49186,90.64434,90.79335,90.95471,91.11286,91.26806,91.42015,91.5694,91.71564,91.85912,91.9998,92.13782,92.27323,92.32367,92.37264,92.42003
ecu,Ecuador,84.75696,85.33272,85.86812,86.37706,86.79136,87.16572,87.48048,87.79221,88.10053,88.40548,88.70729,88.99957,89.28438,89.56629,89.84513,90.12129,90.39442,90.66471,90.93488,91.20469,91.4743,91.66797,91.72648,91.85981,92.07087
egy,Egypt,98.99336,98.92261,98.85193,98.78132,98.71077,98.64028,98.56986,98.49889,98.42754,98.35621,98.28486,98.21353,98.14157,98.0696,97.99758,97.92551,97.85344,97.78186,97.71081,97.64035,97.57053,97.50137,97.43289,97.36519,97.29824
eri,Eritrea,46.81422,47.12042,47.44092,47.77522,48.12342,48.48441,48.85949,49.24695,49.6487,49.81032,49.97738,50.15053,50.32917,50.70513,51.08356,51.46509,51.84972,,,,,,,,
esp,Spain,100,100,100,100,100,100,100,100,100,100,100,100,99.98617,99.95664,99.92694,99.92672,99.92651,99.92628,99.92606,99.92583,99.92561,99.92539,99.92515,99.92493,99.9247
est,Estonia,97.46676,97.60826,97.7507,97.89405,98.03835,98.18361,98.32978,98.47692,98.62502,98.77408,98.92409,99.07506,99.22915,99.38479,99.53931,99.69272,99.84503,99.92571,99.94854,99.97148,99.99453,100,100,100,100
eth,Ethiopia,18.75906,20.28613,21.81059,23.33038,24.84608,26.35761,27.86551,29.37846,30.98697,32.58824,34.18369,35.7719,37.35365,38.91893,40.47707,42.02727,43.56975,45.10328,46.62897,48.14648,49.65505,51.15478,52.64493,54.1256,55.59607
fin,Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
fji,Fiji,94.81718,94.84408,94.87097,94.8927,94.91479,94.93704,94.95965,94.98255,95.01254,95.04454,95.07698,95.10974,95.14295,95.17632,95.21007,95.2442,95.27863,95.3133,95.34827,95.38332,95.41836,95.45346,95.48863,95.52378,95.56039
fra,France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
fsm,"Micronesia, Fed. Sts.",91.79209,91.67271,91.55333,91.43394,91.31456,91.19518,91.07579,90.95641,90.83702,90.71764,90.59826,90.47887,90.35949,90.24011,90.12072,90.00134,89.88195,89.88195,89.88195,89.88195,89.88195,,,,
gab,Gabon,80.06525,80.56922,81.06,81.53732,82.00138,82.45192,82.89008,83.31557,83.72952,84.13072,84.52073,84.89927,85.26739,85.62393,85.96589,86.29303,86.60647,86.90725,87.19598,87.47285,87.7393,87.99547,88.24194,88.47926,88.5995
gbr,UK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
geo,Georgia,94.06022,94.16199,94.29153,94.45326,94.59808,94.74148,94.88358,95.02436,95.16375,95.30174,95.43843,95.57372,95.70773,95.84029,95.97155,96.10145,96.23064,96.35888,96.48628,96.61274,96.73828,96.87791,97.01646,97.15384,97.29002
gha,Ghana,65.51722,66.27248,67.28702,68.30364,69.32259,70.34284,71.36516,72.38928,73.41521,74.44221,75.47127,76.50164,77.5331,78.56515,79.59784,80.63116,81.66515,82.69957,83.73447,84.76962,85.80528,86.84125,87.87755,88.89105,89.92201
gin,Guinea,49.75328,50.50364,51.2523,51.99963,52.74523,53.4891,54.23158,54.9723,55.71124,56.4484,57.1841,58.36031,59.5459,60.74079,61.94495,63.16257,64.39355,65.63776,66.8951,68.16513,69.44837,70.74436,72.05328,73.37437,74.19248
gmb,Gambia,71.75199,72.47099,73.1874,73.8942,74.57234,75.24829,75.92201,76.59349,77.2629,77.92951,78.59384,79.25554,79.91494,80.5712,81.22418,81.87375,82.51964,83.16206,83.80089,84.43619,85.06803,85.69631,86.32124,86.71557,87.10348
gnb,Guinea-Bissau,55.17973,55.63551,56.07668,56.50251,56.91331,57.30839,57.68868,58.05351,58.40316,58.73699,59.05613,59.35994,59.64864,59.92192,60.17997,60.42273,60.64989,60.86142,61.0575,61.23783,61.40237,61.55108,61.63635,61.72183,61.8077
gnq,Equatorial Guinea,51.09814,51.79044,52.542,53.35042,54.21503,55.13172,56.10058,57.11857,58.1838,59.29179,60.44136,61.62961,62.85389,63.67152,63.92648,64.1786,64.42552,64.66581,,,,,,,
grc,Greece,99.75781,99.77438,99.79199,99.80923,99.8261,99.8426,99.85874,99.87451,99.88995,99.90502,99.91976,99.93416,99.94824,99.96199,99.97542,99.98852,100,100,100,100,100,100,100,100,100
